DV,p-val,F,FDR-q,Significant (FDR)
Rapport,0.00841999515433642,3.54781079000082,0.03367998061734568,True
Trust,0.04860850659613542,2.447276590913258,0.09721701319227084,False
Loneliness,0.7157868527758072,0.5273467275759736,0.7157868527758072,False
Skepticism,0.6853722209336877,0.5691882885099131,0.7157868527758072,False
