,Source,SS,DF,MS,F,p-unc,np2
0,bin_label,8.234692740928487,4,2.058673185232122,3.54781079000082,0.00841999515433642,0.08289701563028833
1,Within,91.10172701215794,157,0.5802657771475028,,,
