path,coef,se,pval,CI[2.5%],CI[97.5%],sig
WPS ~ X,0.09295870434144406,0.4201966991006719,0.8251980430288797,-0.7368884122167064,0.9228058208995945,No
QMark ~ X,-0.07101530203611077,0.14845302238166577,0.633040696087823,-0.36419540752345286,0.2221648034512313,No
Y ~ WPS,0.011214836798708303,0.02570095098691783,0.6631683417597691,-0.03954444406479059,0.06197411766220719,No
Y ~ QMark,-0.027202485195380762,0.07270576506781654,0.708795047171132,-0.1707960958501531,0.11639112545939156,No
Total,0.39506172839506076,0.12853743293649744,0.002487665238383609,0.14121295157117714,0.6489105052189443,Yes
Direct,0.39267687964957726,0.12930985258810654,0.002798546998014265,0.13727801488020747,0.6480757444189471,Yes
Indirect WPS,0.0009820487523887395,0.01297041743685162,0.932,-0.015651331595738647,0.04427547745641156,No
Indirect QMark,0.0014027999930946958,0.010118417985681702,0.876,-0.009821705473790266,0.034823568290681284,No
