Source,SS,DF,F,p-unc,np2
avatar_type_raw,4.631335023640978,2,3.9239607648777466,0.021717871095183784,0.04731998723509757
WC,0.8926092787055446,1,1.5125503856349398,0.22057846254163324,0.009482328393460093
Residual,93.24136727932762,158,,,
