T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,Dimension,q
2.067973156231359,158.92917754051342,two-sided,0.04026312694907846,[0.02 0.87],0.32495063157398696,1.205,0.5381055058481935,Verbosity (WPS),0.1409209443217746
-2.5365646970070905,154.9417164267774,two-sided,0.012183884201507853,[-0.5  -0.06],0.39858268848269196,3.198,0.7127241391924753,Question Asking (%),0.08528718941055498
-0.9916033827080893,158.35374041639824,two-sided,0.3229038130097742,[-0.47  0.16],0.1558154391467576,0.267,0.16656422825944775,Tentativeness,0.565081672767105
0.4979124075137054,154.89766664081884,two-sided,0.619251942993196,[-2.15  3.59],0.07823938661996906,0.19,0.07850214032579321,Assertiveness (Clout),0.6728315701257608
0.4230683514274096,155.05833474595698,two-sided,0.6728315701257608,[-0.21  0.33],0.06647877782216327,0.184,0.07049435925483481,Self-Focus (i),0.6728315701257608
-1.7064490140134774,146.57007066774057,two-sided,0.0900423692912308,[-0.95  0.07],0.26814259323511724,0.647,0.3961113046005363,Other-Focus (you),0.21009886167953853
-0.8265573534261248,159.99851167346046,two-sided,0.40971891735028265,[-1.43  0.58],0.1298809576993819,0.233,0.13018999734264225,Cognitive Depth (cogproc),0.5736064842903957
