DV_Scale,alpha
DV_Anthro,0.8478540738425349
DV_Pers,0.8724606352742728
DV_Trust,0.9062369080434313
DV_Rapport,0.8253430687173113
DV_Presence,0.8828689037903148
DV_Engagement,0.8940172907714343
DV_Satisfaction,0.8951853733341564
