T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,Dimension
0.9335896514609515,158.2463213368948,two-sided,0.35193791889537607,[-0.39  1.08],0.14669946075413873,0.254,0.15298188176060265,Positive Tone
0.017708871819874485,159.84520546228026,two-sided,0.9858931880465474,[-3.52  3.58],0.0027826807446659123,0.17,0.05003549528229929,Authenticity
0.6678657875224492,156.87676850432712,two-sided,0.5052006221079814,[-0.69  1.4 ],0.10494498383991505,0.208,0.10181800226441347,Social Language
