DV,shapiro_p,levene_p
DV_Anthro,0.00029276989861646196,0.2114941326287472
DV_Pers,0.0017393444230679451,0.1498561021072592
DV_Trust,0.000723899349262099,0.3671627778800553
DV_Rapport,0.021106599119467377,0.4557799814847273
DV_Presence,0.007848009617103642,0.08714625249881264
DV_Engagement,0.006753810696171342,0.961416308647306
DV_Satisfaction,0.0005413230776321448,0.31610886874009003
