path,coef,se,pval,CI[2.5%],CI[97.5%],sig
WPS ~ X,0.092958704341445,0.4201966991006718,0.8251980430288779,-0.7368884122167052,0.9228058208995953,No
QMark ~ X,-0.07101530203611019,0.14845302238166574,0.6330406960878256,-0.3641954075234522,0.22216480345123185,No
Y ~ WPS,0.011214836798708362,0.025700950986918245,0.6631683417597727,-0.039544444064791344,0.06197411766220807,No
Y ~ QMark,-0.027202485195380516,0.07270576506781647,0.7087950471711343,-0.1707960958501527,0.11639112545939168,No
Total,0.39506172839506193,0.12853743293649747,0.0024876652383835477,0.14121295157117825,0.6489105052189457,Yes
Direct,0.3926768796495777,0.12930985258810657,0.0027985469980142353,0.13727801488020785,0.6480757444189476,Yes
Indirect WPS,0.0009820487523887723,0.012452989681903675,0.95,-0.01562567322393786,0.03913410776180737,No
Indirect QMark,0.0014027999930946976,0.011008058677289493,0.857,-0.011455655627826931,0.04061973261633116,No
