participant_id,bin_label
631c8e97db06f601f81bd82f,PERSONAL
67195ce0322d3935df36e8be,UNLABELED
67103e4ed56cde03a0f2476b,UNLABELED
67d33ac3be767e40587d85b6,SUPERFICIAL
67363452674f3db8059e7888,UNLABELED
5c1021a547d07800011a23de,UNLABELED
6637b21240220c2517fffa1a,SUPERFICIAL
647c65c5acb91c89819c7970,SUPERFICIAL
6750c1f9beef487bf5b58069,UNLABELED
674bea1eb044fbe75795fef1,LOGISTICS
66e641a57e7f41866f9e705f,UNLABELED
675a2ef45fbe0cc52b8403ae,SUPERFICIAL
67ef6e8e9bfc15c060497365,UNLABELED
67e1339d0db0822cd68b0104,PERSONAL
67e4c4b8c49f4b9a84e4c155,PERSONAL
66a48261758e59c5f2dd8ceb,META_AI
5da8edc60f9c9c0017526948,UNLABELED
67eaf7ac600979b62eedb17c,PERSONAL
5f9fdfd04296cb0102563f84,LOGISTICS
67e9f5c8972a4be47457bbe1,UNLABELED
67062295123561f8241f65fc,SUPERFICIAL
662bf98a6f25e5ccdce46ebc,PERSONAL
668dc66f629802c9570027e6,PERSONAL
669a92a7634bd2faf6fec077,PERSONAL
67722f8e3a4f08a288a1f640,META_AI
675e0021fb5b64314d65aee9,PERSONAL
59f22a9fd6380600018b2929,PERSONAL
67c9a591ee61ca04b1eddb65,SUPERFICIAL
